branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,271229,351885,358529,0,0,0,0,0,0,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,2117180,3424062,3424062,0,0,0,0,0,0,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,4150451,6900343,6900343,234841,234841,231233,0,2930067,186118,0,0,0,0,0,0,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,5868112,9025890,9025890,556319,556319,624338,0,11717474,506871,0,0,0,349565,53295,2026177,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6129358,9644996,9644996,808478,808478,789300,0,14616817,707965,0,0,0,2287331,141293,13317292,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6216374,9783225,9783225,1032412,1033221,1009577,0,15135503,763061,0,0,0,3015175,156927,17065756,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6387446,10124579,10124579,1522906,1522906,1310260,0,15641779,773496,0,0,0,3211473,172313,18343070,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6387446,10124579,10124579,1972243,1972243,1476989,0,15844193,779378,0,0,0,3211473,172313,18343070,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6387446,10124579,10124579,2425152,2425152,1734074,0,15844193,779378,0,0,0,3211473,172313,18343070,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6427469,10242284,10242284,2902947,2902947,2046218,0,15988010,795529,0,0,0,3211473,172313,18343070,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,3446076,3447266,2368005,0,16026992,801037,0,0,0,3249092,184058,18627641,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,3970167,3970167,2770310,0,22497989,1032047,0,0,0,3261425,187535,18723201,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,4443488,4443488,3048822,0,27904436,1390478,0,0,0,3261425,187535,18723201,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,4838919,4838919,3389130,0,30075765,1549020,0,0,0,3652494,227012,20640213,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,5041622,5041622,3606447,0,30389545,1569560,0,0,0,5661593,628336,34191853,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,5130792,5130792,3664677,0,30505608,1580686,0,0,0,7557691,752878,46795367,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,5309999,5313284,3804527,0,30505608,1580686,0,0,0,10154080,904779,62033886,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,5499746,5499746,3958118,0,30505608,1580686,0,0,0,10970067,955308,66765858,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,5827184,5828244,4217311,0,30505608,1580686,0,0,0,10997972,959821,67072551,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,6085136,6085136,4635670,0,30505608,1580686,0,0,0,11135404,978115,68046219,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,6491236,6494159,4924798,0,30631618,1594843,0,0,0,11135404,978115,68046219,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,6803760,6803760,5139481,0,30916717,1616976,0,0,0,11135404,978115,68046219,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,7160220,7160220,5455141,0,30916717,1616976,0,0,0,11135404,978115,68046219,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,7420390,7420390,5704681,0,30926592,1618217,0,0,0,11149317,981330,68147592,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6447075,10292189,10292189,7511451,7511451,5760957,0,30969247,1623396,0,0,0,11149317,981330,68147592,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,6916374,10894708,10894708,7599219,7599219,5831463,0,30969247,1623396,0,0,0,11149317,981330,68147592,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,9768167,17084006,17084006,7986021,7986021,6191140,0,30969247,1623396,0,0,0,11151419,981956,68165505,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,10503546,19354166,19354166,8133328,8133633,6364460,0,30969247,1623396,0,0,0,11193029,990653,68495537,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,12984179,24015292,24069937,8527259,8527259,6735197,0,34155485,1780471,0,0,0,12826022,1328843,80344190,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,14804319,26359185,26359185,8968783,8968783,7002427,0,38281895,2040554,0,0,0,16767504,1502254,104065828,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,15795122,27787929,27787929,9260962,9260962,7200041,0,42608033,2311072,0,0,0,19179166,1652586,118015742,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,16021685,28308125,28308125,9493979,9497543,7358404,0,50775655,2670738,0,0,0,20772240,1914863,131493042,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,16271289,28987147,28987147,10087855,10087855,7669872,0,56288777,3035689,0,0,0,22978356,2105944,147166581,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,19749468,36499103,36499103,10677939,10677939,8112890,0,61563440,3357320,0,0,0,23194599,2167212,148757488,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,21148691,40245828,40250818,11074636,11075564,8408721,0,78735548,3800488,0,0,0,23700526,2232285,152872046,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,22727560,42546516,42686017,11276666,11280967,8528123,0,87282216,4216573,0,0,0,23740294,2246031,153192338,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,24240202,45768160,45768160,11443375,11445169,8632232,0,97706635,4565350,0,0,0,26050275,2804059,173728403,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,25132715,48160257,48215216,11588867,11588867,8718125,0,102975069,4876233,0,0,0,29612969,3185633,200926880,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,26371302,50066304,50066304,11679816,11680112,8772411,0,110280177,5279697,0,0,0,34024510,3821206,248984852,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
0,29417776,58358889,58358889,11885000,11885138,8908286,0,118632393,5537626,0,0,0,36700130,4226679,267279278,benign,E5D0935F2C083A3FDA5955067217A6506D876496F295690BB8DFD74FED1D8C33.apk
