branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
22086348,22086348,22799976,22799976,183803,183803,844562,0,9827451,36985,0,0,0,18567250,3693,39865561,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
41479732,41479732,45131038,45131038,340832,340832,1688593,0,16992946,39897,0,0,0,25160836,5801,79747608,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
62421744,62421744,67797683,67797683,528981,528981,2535074,0,28505865,42727,0,0,0,40138119,10123,145660472,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
65614068,65616886,73312588,73312588,688809,688809,3374720,0,36135750,44671,0,0,0,56398429,16406,196701891,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
68743878,68743878,77129183,77129183,850237,850237,4220213,0,43480393,47569,0,0,0,65362885,73875,205785126,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
72724002,72724002,82927394,82927394,1014015,1014015,4943848,0,50761572,49584,0,0,0,80812364,79833,285113771,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
74318397,74318397,84250165,84250165,1152042,1154161,5772816,0,60272950,51575,0,0,0,86640871,124515,285113771,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
87621092,87757506,103868929,103932201,1302082,1302660,6380563,0,68794616,52540,0,0,0,98062222,132260,346347826,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
105460519,105545538,123880422,123969240,1454521,1454521,7060091,0,79141478,54481,0,0,0,109005906,190445,366818474,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
124706134,124706134,145051049,145083449,1610790,1610790,7899213,0,87584250,55473,0,0,0,118412636,196146,409734915,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
131028172,131103378,157001079,157085297,1752425,1752425,8736576,0,96082456,56468,0,0,0,133065035,288081,465462008,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
153397156,153538164,185781031,185821296,1934832,1934832,9577138,0,105374880,58458,0,0,0,151364931,291206,506889363,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
170750190,170764477,208509048,208553664,2096199,2096199,10414391,0,112460735,59432,0,0,0,151827225,292406,544151753,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
186426051,186426051,232167976,232167976,2252416,2252416,11254855,0,120361128,60384,0,0,0,178776459,297979,617874256,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
209696304,209698860,259596212,259596212,2365663,2365663,11716800,0,126266756,61336,0,0,0,182359566,299211,626135333,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
223743827,223831743,279293478,279388203,2642091,2644957,12020937,0,134978134,62251,0,0,0,198475006,302134,696821922,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
244487102,244581523,302493452,302597566,3090684,3092079,12309759,0,142964942,64121,0,0,0,200944681,457709,698474260,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
259688457,259765038,323116116,323198876,3465122,3465122,12516017,0,150520890,64244,0,0,0,202157641,533034,702658163,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
281744862,281843976,347906416,348007845,3829631,3830033,13009778,0,163100519,64244,0,0,0,208475916,622938,744747629,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
305446135,305541576,377196031,377299364,4141243,4141243,14044778,0,171754946,64244,0,0,0,225985878,719933,809861535,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
328685193,328941568,404656503,404900183,4466073,4466073,14709678,0,180548430,64244,0,0,0,243890823,744618,860213081,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
351362845,351467144,431412967,431518675,4667229,4667229,15105709,0,184678990,64244,0,0,0,254990897,996740,897526336,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
375540406,375629841,461108891,461206567,4921308,4921308,15291549,0,190323889,64244,0,0,0,267999221,1124538,940607115,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
392471904,392503909,480721206,480812824,5295665,5295665,15527029,0,197955944,64244,0,0,0,284341502,1217410,1013174689,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
411333617,411377987,504564957,504659774,5517800,5517800,15669840,0,209627780,64244,0,0,0,300567034,1279577,1082820537,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
430168261,430261649,527959341,528049898,5581022,5581022,15822718,0,219285570,64244,0,0,0,320618018,1290481,1156873536,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
448690615,448697527,548922322,548995100,6093266,6093266,16065255,0,231384164,64244,0,0,0,336380211,1375088,1223337981,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
