branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,7456,7456,3319,0,359035,30544,0,0,0,0,0,0,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,39234,39234,30709,0,359035,30544,0,0,0,0,0,0,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,39234,39234,30709,0,359035,30544,0,0,0,141114,35126,876694,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,39234,39234,30709,0,665173,56729,0,0,0,376419,101303,2448083,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,108999,108999,62265,0,676120,58364,0,0,0,376419,101303,2448083,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,108999,108999,62265,0,676120,58364,0,0,0,376419,101303,2448083,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,108999,108999,62265,0,1543191,108462,0,0,0,376419,101303,2448083,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,142636,142636,78471,0,1556135,109890,0,0,0,376419,101303,2448083,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,142636,142636,78471,0,1556135,109890,0,0,0,508253,134965,3238943,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,142636,142636,78471,0,1556135,109890,0,0,0,508253,134965,3238943,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,149836,149836,81788,0,1865602,135323,0,0,0,508253,134965,3238943,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,177770,177770,94874,0,1865602,135323,0,0,0,508253,134965,3238943,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
0,0,0,0,177770,177770,94874,0,1865602,135323,0,0,0,600506,164500,3849715,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
21120,21120,53075,53075,395503,399387,305788,0,2160944,161181,0,0,0,2888988,563320,22846151,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
632428,632428,1183219,1183219,850504,851405,678288,0,4773594,360212,0,0,0,5360880,1138186,40970431,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
4329094,4329094,10790748,10790748,1254114,1254469,1014604,0,11166824,594810,0,0,0,5964783,1319602,45362800,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
4329094,4329094,10790748,10790748,1905401,1905401,1422309,0,23035124,1106229,0,0,0,6899120,1604910,52372550,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
4329094,4329094,10790748,10790748,2645235,2645235,1882218,0,32558343,1650572,0,0,0,7371008,1723059,55458752,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
4329094,4329094,10790748,10790748,3179761,3179761,2184851,0,39024775,1990872,0,0,0,7445103,1732113,55851214,benign,E7D04C71982022CFE867324D6D6086F9C583CB0602C39CDE6BEA224ABAA35242.apk
