branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type
151918011,151918011,484100386,484100386,7667427,4316192,3501,0,351880114,1001,0,0,0,138907602,7617480,1978998490,benign
3268,129461613,400404492,389191187,6786972,3806929,0,0,272188346,2050,0,0,0,126317578,6925095,1708268211,benign
0,136061955,431972701,426880984,6669831,4737655,0,0,599404916,130505,0,0,0,117713041,6546913,1533070219,benign
0,152934840,1818059,1818059,6351257,5301338,0,0,669481964,0,0,0,0,115172559,6341066,1489423631,benign
0,107130734,333259005,333663935,7345801,4258945,0,0,652321762,9473,0,0,0,162269604,8805231,2439219642,benign
0,129857693,486298470,399922608,6860826,3755025,0,0,565846640,3047,0,0,0,155497566,8143782,2299042437,benign
0,126702652,389551233,383763157,6733299,6541344,469,0,452268716,3211,0,0,0,140229456,7726383,1995607906,benign
0,129164230,396059141,391487149,6805493,4785091,0,0,408020212,1100,0,0,0,132198141,7235024,1853793422,benign
0,117584679,432610720,358040544,7550437,5391142,0,0,532157604,1011,0,0,0,119633336,6578666,1641913831,benign
0,100399835,301548380,294880952,7127268,5092113,0,0,615402318,7983,0,0,0,161685917,8827720,2427916963,benign
0,193069545,617372880,617372880,6208796,5321774,0,0,237790875,7203,0,0,0,70676329,3353172,796203833,malicious
0,131419286,500773330,495920370,5089137,4357076,0,0,403874755,0,0,0,0,77167757,4144862,1285311965,malicious
0,118985207,437734210,436479568,7139689,5209446,0,0,408021616,0,0,0,0,78103130,3636063,879147261,malicious
0,112702391,413899242,403332203,6377867,5250703,0,0,382365642,0,0,0,0,68612193,3872094,852363793,malicious
0,166593219,1830399,1830399,7214988,4329960,0,0,268417764,0,0,0,0,64616878,3519308,995637792,malicious
0,113747673,414579604,348228193,6911024,4935409,0,0,310106871,0,0,0,0,96142965,5159113,1429822954,malicious
0,109492479,336928551,324897195,7008892,5107955,0,0,329999801,0,0,0,0,73759801,4055283,1078277268,malicious
0,82529767,300494599,299512635,7612454,5351755,0,0,409294129,0,0,0,0,64823573,3621580,864840115,malicious
8702,133288303,501879324,506802947,7365108,4366381,0,0,281547119,0,0,0,0,64559430,3584479,616124252,malicious
0,101459090,315448879,306183381,6775482,4106288,0,0,349729421,0,0,0,0,213326915,1065880,1300087115,malicious
