branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
0,0,0,0,632,4612,12066,0,2924846,152920,0,0,0,3552860,623185,33830573,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,819917,821289,536371,0,12290790,671104,0,0,0,10154883,1839299,84836530,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,1577091,1583605,979465,0,15048937,796596,0,0,0,15250223,2839237,123379033,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,2361985,2364106,1433714,0,27944666,1450466,0,0,0,17963144,3564762,144022449,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,3161108,3161108,1836392,0,32666679,1748380,0,0,0,21357874,4181195,169645626,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,3738082,3743272,2176306,0,40240211,2236080,0,0,0,23760094,4942337,187670409,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,5621860,5634296,3374489,0,50402607,2764240,0,0,0,25289447,5408845,198989672,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,6889121,6889121,4130424,0,50787557,2794827,0,0,0,30938114,6244076,241945441,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,7282493,7282493,4342031,0,59121365,3252530,0,0,0,32975274,6820667,256721970,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,7543151,7548795,4485192,0,70561715,3716076,0,0,0,33246391,6862608,258546729,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,7831085,7837236,4766686,0,77364270,4062252,0,0,0,33826177,6965860,263376696,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
0,0,0,0,8212999,8212999,4967383,0,83759604,4399251,0,0,0,37166558,7893673,289139768,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
2343249,2343249,3813523,3813523,8534935,8538690,5154541,0,102258185,5242993,0,0,0,38659929,8273320,299371412,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
6917990,6935204,15917209,15969471,9294357,9301275,5625451,0,139635837,7084504,0,0,0,39511788,8455555,305355369,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
8463328,8463328,19291845,19291845,10065447,10067190,6044485,0,160715765,8430804,0,0,0,42276914,9054776,324650787,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
10215155,10215155,23818678,23818678,10210341,10210341,6123019,0,182396755,9114270,0,0,0,44615598,9736847,341661935,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
12399643,12414699,28743025,28743025,10245829,10245829,6142460,0,200630167,9412228,0,0,0,44963849,9813958,343685116,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
19422586,19422586,43677967,43677967,10524200,10527283,6299644,0,201686755,9501761,0,0,0,46353378,10085665,352920374,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
22621540,22621540,51523191,51523191,10856895,10863165,6499282,0,205629464,9774062,0,0,0,47597482,10326698,364330384,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
24147026,24147026,55191128,55191128,10978983,10983486,6559120,0,209861975,10024056,0,0,0,49227835,10716348,375645531,benign,4386205544C7C60082E738DC43B59E5797CEB876AF6F18D4646F2D96E21B336A.apk
