branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type
160472309,160472309,322238696,322238696,27776358,27799060,25916610,0,541181945,13608403,0,0,0,183944622,16159063,1485123566,benign
212973252,212973252,439879007,439879007,18837157,18837157,14575600,0,591861167,21379856,0,0,0,167748115,15465197,1328205824,benign
218152231,218152231,439358117,439358117,31651104,31651104,24872859,0,367199701,10511480,0,0,0,271892464,29063818,2021391293,benign
198369699,198369699,416520696,416520696,21287928,21287928,15300134,0,450335259,15517838,0,0,0,166202690,15343025,1251126095,benign
186082973,186082973,377841000,377841000,17559666,17559666,12297173,0,358882157,12795436,0,0,0,186362084,18648395,1454550546,benign
283769357,283769357,567618562,567618562,21074620,21074620,16393759,0,332017819,10604755,0,0,0,237454604,26267437,1725919657,benign
253625446,253625446,521767460,521767460,18213998,18213998,13470183,0,433505832,15030467,0,0,0,182388092,18126591,1391861610,benign
260605735,260605735,553856135,553856135,22501969,22501969,22415087,0,706163086,22408838,0,0,0,171424999,15657494,1346949820,benign
168665307,168665307,340708498,340708498,18631596,18631596,14599636,0,410982827,13754272,0,0,0,135702571,12400746,998798224,benign
264683339,264683339,548938288,548938288,19959096,19959096,15848701,0,708258674,22384001,0,0,0,131549833,11735068,920564276,benign
163181117,163181117,318687177,318687177,19812478,19812478,15965366,0,346265495,12285768,0,0,0,201638981,20248601,1549887898,malicious
214505584,214505584,474493422,474493422,17766807,17766807,14411299,0,464489988,13549152,0,0,0,144060429,12888305,1352936997,malicious
300774448,300774448,682545777,682545777,16104608,16104608,12798911,0,661110571,21811334,0,0,0,167709927,13950180,1430270173,malicious
153438846,153438846,298323581,298323581,15565858,15565858,12797376,0,595479759,20616616,0,0,0,183345649,17801191,1490134295,malicious
191882766,191882766,380018135,380018135,28692154,28705146,22366565,0,513775608,17237656,0,0,0,201102793,20219114,1742799857,malicious
147534339,147534339,334226118,334226118,13717925,13717925,11347101,0,465170481,15668275,0,0,0,184564399,14961940,1890134065,malicious
250439681,250439681,543908991,543908991,22782765,22782765,17880750,0,414856652,13814404,0,0,0,203109326,17982255,1923073446,malicious
182541106,182541106,416100717,416100717,17636868,17636868,13214321,0,503359553,17420297,0,0,0,165866146,15289790,1319238233,malicious
179261093,179261093,406736320,406736320,17593358,17593358,14866798,0,397756262,12967058,0,0,0,205300979,18702588,1618574313,malicious
198535534,198535534,415128932,415128932,25856928,25856928,516250,0,364958137,12768493,0,0,0,257977626,28739550,2041492413,malicious
