branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,0,0,0,0,1831156,59790,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,94843,96088,164004,0,26930332,190564,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,376693,377392,524597,0,36727415,407891,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,627449,627449,777821,0,45607157,770749,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,1114656,1114656,1044148,0,71195609,1047197,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,1632099,1634305,1259504,0,72035444,1069687,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
0,0,0,0,1936075,1936075,1381352,0,73514875,1207192,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2236556,2240848,1639267,0,100067600,1501015,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2441215,2441215,1792914,0,125306395,1704892,0,0,0,0,0,0,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2540110,2540110,1854304,0,138083171,2053552,0,0,0,3721654,220677,49774697,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2669169,2669169,1975829,0,146986131,2408036,0,0,0,9369854,442253,132575122,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2745004,2745803,2142114,0,175614861,2601774,0,0,0,12619530,898072,161882760,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2810458,2810458,2357359,0,183255018,2914911,0,0,0,19138970,1132569,275340061,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
336377,336377,564451,564451,2826490,2826490,2366276,0,185191472,2935654,0,0,0,21888175,1329825,296439245,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
1473915,1497567,4105988,4204890,2863783,2864244,2388407,0,185723367,2968765,0,0,0,22970195,1383401,306332293,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
7777198,7803624,23126200,23243577,3029564,3030634,2638793,0,190475125,3104678,0,0,0,26099977,1486425,362100121,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
13564650,13580006,40793673,40810193,3139296,3140730,3018803,0,196839670,3286759,0,0,0,30258086,1757299,427145120,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
18635214,18656968,57233160,57331881,3208261,3209286,3312880,0,204420754,3513019,0,0,0,32125697,1899391,443173402,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
23026156,23026156,72618241,72618241,3285289,3286405,3582955,0,218105418,3623986,0,0,0,32515747,1958379,445727291,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
29356643,29356643,98763412,98763412,3411346,3412410,3833766,0,233243101,3772369,0,0,0,32795420,2034528,448021974,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
32500906,32500906,106141011,106141011,3679758,3681476,4184956,0,237917515,4019891,0,0,0,32976228,2084944,449421742,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
32698854,32698854,106692942,106692942,3988935,3989880,4552547,0,245639629,4266301,0,0,0,34681195,2207582,462923618,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
39625536,39625536,134157314,134157314,4331609,4332612,4849790,0,250270449,4447970,0,0,0,35215216,2305586,467890796,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
46135466,46135466,159870051,159870051,4676142,4677275,5179125,0,278258170,4610815,0,0,0,35501599,2342030,469982875,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
54897799,54947929,197887887,198100321,4895048,4895048,5340752,0,279711648,4686697,0,0,0,35546464,2350510,470300036,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
64305903,64326025,237216805,237307905,5036203,5045260,5393198,0,308518003,4886340,0,0,0,35633782,2367001,470943956,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
73721939,73737331,279366318,279436656,5375814,5375814,5878704,0,318975747,5146591,0,0,0,35724386,2396783,471622879,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
80561961,80561961,308789389,308789389,5650444,5650952,6226435,0,344728779,5316510,0,0,0,41641455,2515716,580143176,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
82418598,82418598,312851822,312851822,6172410,6172410,6730415,0,349062448,5418310,0,0,0,41641455,2515716,580143176,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
89709231,89736221,339661621,339780617,6601952,6604206,6997367,0,366743719,5539566,0,0,0,42878583,2591154,589271859,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
96098881,96121635,365255547,365287513,6988896,6992459,7221166,0,381360481,5734723,0,0,0,45307167,2721099,612132710,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
99576097,99598240,375158898,375253489,7244656,7251088,7452914,0,408175530,5928039,0,0,0,52648065,2887898,743445827,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
108878519,108902086,415733943,415733943,7356261,7356261,7517642,0,435088832,6040959,0,0,0,59018778,3003101,858633080,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
111297063,111297063,421370964,421370964,7402495,7402495,7542079,0,469186224,6181165,0,0,0,65332170,3145070,971347609,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
114557971,114581674,432570365,432672312,7538666,7538666,7721370,0,511020743,6291486,0,0,0,72157072,3281929,1094284211,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
117541823,117541823,443396736,443396736,7542938,7542938,7724442,0,539835324,6525658,0,0,0,75171545,3468945,1139083655,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
123514170,123529987,464314488,464346969,7637422,7637422,7849990,0,570252267,6807556,0,0,0,77994743,3643833,1158864325,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
128324166,128347817,478532667,478631206,7903755,7906964,8198719,0,609045696,6952006,0,0,0,86746791,3796880,1318485843,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
133611740,133646877,492787867,492853556,8073092,8073092,8438264,0,629631562,7280884,0,0,0,91927115,3903841,1408616566,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
140055681,140111444,513144971,513149504,8219247,8219247,8517600,0,647492516,7595508,0,0,0,98859461,4040984,1537304751,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
148556493,148556493,536196204,536196204,8453464,8454655,8692842,0,669950258,7801093,0,0,0,99799276,4151721,1545214347,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
154500001,154500001,546703452,546703452,8663254,8663254,8992064,0,693390740,8041530,0,0,0,101464946,4223053,1574796577,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
161745971,161794662,571604559,571815192,8803476,8803924,9153682,0,710313104,8356639,0,0,0,105888680,4317966,1655064345,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
171062671,171110907,606498632,606703891,8843247,8843247,9175418,0,741672856,8537967,0,0,0,106041093,4347700,1656129861,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
177979973,177979973,631282289,631282289,9049522,9051155,9382275,0,763874637,8775624,0,0,0,108011111,4437348,1682063947,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
182827433,182831267,650058299,650061696,9328038,9328372,9701811,0,801051282,9034487,0,0,0,115544536,4603873,1820489849,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
